text,preprocess_texts,preprocess_texts_no_symboll,tokens
"@Realbaekwife @weareoneEXO @B_hundred_Hyun @layzhang پول پول پول

میشه پرتقالمو لایک کنین😁❤️… https://t.co/dK2AQa5vYm",پول پول پولمیشه پرتقالمو لایک کنین❤️,پول پول پولمیشه پرتقالمو لایک کنین,"['پول', 'پول', 'پولمیشه', 'پرتقالمو', 'لایک', 'کنین']"
"از اسب افتادیم ،از اصل که نیافتادیم .
تاجی همیشه تاجی ،آبی همیشه آبی 💙💙💙💙💙💙💙💙💙💙💙💙",از اسب افتادیم از اصل که نیافتادیم تاجی همیشه تاجی آبی همیشه آبی,از اسب افتادیم از اصل که نیافتادیم تاجی همیشه تاجی آبی همیشه آبی,"['از', 'اسب', 'افتادیم', 'از', 'اصل', 'که', 'نیافتادیم', 'تاجی', 'همیشه', 'تاجی', 'آبی', 'همیشه', 'آبی']"
"RT @ParkBH_64: فقط برای یاداوری!! 
ما اومدیم توییتر برای حمایت، اومدیم عکسای قشنگ از اعضا رو بریزیم توی لاین تایم، اومدیم برای هشتگا، رای گ…",فقط برای یاداوری ما اومدیم توییتر برای حمایت اومدیم عکسای قشنگ از اعضا رو بریزیم توی لاین تایم اومدیم برای هشتگا رای گ,فقط برای یاداوری ما اومدیم توییتر برای حمایت اومدیم عکسای قشنگ از اعضا رو بریزیم توی لاین تایم اومدیم برای هشتگا رای گ,"['فقط', 'برای', 'یاداوری', 'ما', 'اومدیم', 'توییتر', 'برای', 'حمایت', 'اومدیم', 'عکسای', 'قشنگ', 'از', 'اعضا', 'رو', 'بریزیم', 'توی', 'لاین', 'تایم', 'اومدیم', 'برای', 'هشتگا', 'رای', 'گ']"
@iamiref11 وقتی امیو مجبور کردن غذارو درست کنه:,وقتی امیو مجبور کردن غذارو درست کنه,وقتی امیو مجبور کردن غذارو درست کنه,"['وقتی', 'امیو', 'مجبور', 'کردن', 'غذارو', 'درست', 'کنه']"
"RT @omiiid_1995: با انتخاب رئیس جمهور انقلابی تموم توصیه های روی زمین مونده رهبرم به سرانجام میرسه

 #کرمان_قهرمان_پرور",با انتخاب رئیس جمهور انقلابی تموم توصیه های روی زمین مونده رهبرم به سرانجام میرسه  کرمان قهرمان پرور,با انتخاب رئیس جمهور انقلابی تموم توصیه های روی زمین مونده رهبرم به سرانجام میرسه  کرمان قهرمان پرور,"['با', 'انتخاب', 'رئیس', 'جمهور', 'انقلابی', 'تموم', 'توصیه', 'های', 'روی', 'زمین', 'مونده', 'رهبرم', 'به', 'سرانجام', 'میرسه', 'کرمان', 'قهرمان', 'پرور']"
RT @Shangool1012: گمم نکنید و از اینجور صحبتا https://t.co/zc9ZdBktBu,گمم نکنید و از اینجور صحبتا,گمم نکنید و از اینجور صحبتا,"['گمم', 'نکنید', 'و', 'از', 'اینجور', 'صحبتا']"
@ZAYN_ASALL نه نمیشه من رفیقتم نباید اینکارو باهام میکردی....,نه نمیشه من رفیقتم نباید اینکارو باهام میکردی,نه نمیشه من رفیقتم نباید اینکارو باهام میکردی,"['نه', 'نمیشه', 'من', 'رفیقتم', 'نباید', 'اینکارو', 'باهام', 'میکردی']"
@lls_k_shll وقتی ندونه چکارش کنیم؟,وقتی ندونه چکارش کنیم,وقتی ندونه چکارش کنیم,"['وقتی', 'ندونه', 'چکارش', 'کنیم']"
RT @IRANIMALRIGHTS: به دنبال انتشار ویدیوی #سگ_کشی و اعدام سگ‌ها توسط #شهرداری_تبریز در شبکه‌های مجازی، گروهی از #حامیان_حیوانات مقابل #شهر…,به دنبال انتشار ویدیوی  سگ کشی و اعدام سگ‌ها توسط  شهرداری تبریز در شبکه‌های مجازی گروهی از  حامیان حیوانات مقابل  شهر,به دنبال انتشار ویدیوی  سگ کشی و اعدام سگها توسط  شهرداری تبریز در شبکههای مجازی گروهی از  حامیان حیوانات مقابل  شهر,"['به', 'دنبال', 'انتشار', 'ویدیوی', 'سگ', 'کشی', 'و', 'اعدام', 'سگها', 'توسط', 'شهرداری', 'تبریز', 'در', 'شبکههای', 'مجازی', 'گروهی', 'از', 'حامیان', 'حیوانات', 'مقابل', 'شهر']"
RT @Polyhedron__: لطفا کمی صدای سکوت را بیشتر کنید ، آرامشش به گوش نمیرسد )),لطفا کمی صدای سکوت را بیشتر کنید  آرامشش به گوش نمیرسد,لطفا کمی صدای سکوت را بیشتر کنید  آرامشش به گوش نمیرسد,"['لطفا', 'کمی', 'صدای', 'سکوت', 'را', 'بیشتر', 'کنید', 'آرامشش', 'به', 'گوش', 'نمیرسد']"
"@Mahdiye7467 🌹🙏
ممنون 
زیبا میبینید",ممنون زیبا میبینید,ممنون زیبا میبینید,"['ممنون', 'زیبا', 'میبینید']"
"RT @FatemeSadatarfa: از خداوند متعال برایتان سلامتی، بهروزی و توفیق استمرار خدمتگزاری را مسئلت دارم 
#رئیسی_متشکریم
،،،::::",از خداوند متعال برایتان سلامتی بهروزی و توفیق استمرار خدمتگزاری را مسئلت دارم  رئیسی متشکریم,از خداوند متعال برایتان سلامتی بهروزی و توفیق استمرار خدمتگزاری را مسئلت دارم  رئیسی متشکریم,"['از', 'خداوند', 'متعال', 'برایتان', 'سلامتی', 'بهروزی', 'و', 'توفیق', 'استمرار', 'خدمتگزاری', 'را', 'مسئلت', 'دارم', 'رئیسی', 'متشکریم']"
@mozmen1 پس اشنا برای همین توییت زد🤔,پس اشنا برای همین توییت زد,پس اشنا برای همین توییت زد,"['پس', 'اشنا', 'برای', 'همین', 'توییت', 'زد']"
"@elnaz1485 @weareoneEXO @B_hundred_Hyun @layzhang میشه پرتقالمو لایک کنین😁❤️
https://t.co/HuP3mwbKgL
فالومم کنین بک… https://t.co/7UoIiPAcKk",میشه پرتقالمو لایک کنین❤️فالومم کنین بک,میشه پرتقالمو لایک کنینفالومم کنین بک,"['میشه', 'پرتقالمو', 'لایک', 'کنینفالومم', 'کنین', 'بک']"
"و به نیمه رسید💀
باران حقیقیت ،باران درد برده دارن
PAIN. PAIN. PAIN. PAIN",و به نیمه رسیدباران حقیقیت باران درد برده دارنpain pain pain pain,و به نیمه رسیدباران حقیقیت باران درد برده دارنpain pain pain pain,"['و', 'به', 'نیمه', 'رسیدباران', 'حقیقیت', 'باران', 'درد', 'برده', 'دارنpain', 'pain', 'pain', 'pain']"
RT @MbShahnaz: ایرانی لبا شرف سکوت =خیانت به آب و خاک اجدادی مان ایران است.👇👇👇👇👇👇👇,ایرانی لبا شرف سکوت خیانت به آب و خاک اجدادی مان ایران است,ایرانی لبا شرف سکوت خیانت به آب و خاک اجدادی مان ایران است,"['ایرانی', 'لبا', 'شرف', 'سکوت', 'خیانت', 'به', 'آب', 'و', 'خاک', 'اجدادی', 'مان', 'ایران', 'است']"
"@KhodetMiidoni هر وقت نعیما طاهری رو دادن به من 
اونوقت تصمیم بگیرید",هر وقت نعیما طاهری رو دادن به من اونوقت تصمیم بگیرید,هر وقت نعیما طاهری رو دادن به من اونوقت تصمیم بگیرید,"['هر', 'وقت', 'نعیما', 'طاهری', 'رو', 'دادن', 'به', 'من', 'اونوقت', 'تصمیم', 'بگیرید']"
@Nav3d3 تشکر,تشکر,تشکر,['تشکر']
@DashJafar نه. نداره 😂,نه نداره,نه نداره,"['نه', 'نداره']"
"RT @Farzad_mpur: اصولگرا، برانداز، پیوندتان مبارک
تا زمانی که اصولگراهای بی‌بصیرت هستند، اصلاحات نیازی به تبلیغات ندارد
#نه_به_رئيسی #دولت_…",اصولگرا برانداز پیوندتان مبارکتا زمانی که اصولگراهای بی‌بصیرت هستند اصلاحات نیازی به تبلیغات ندارد نه به رئيسی  دولت,اصولگرا برانداز پیوندتان مبارکتا زمانی که اصولگراهای بیبصیرت هستند اصلاحات نیازی به تبلیغات ندارد نه به رئيسی  دولت,"['اصولگرا', 'برانداز', 'پیوندتان', 'مبارکتا', 'زمانی', 'که', 'اصولگراهای', 'بیبصیرت', 'هستند', 'اصلاحات', 'نیازی', 'به', 'تبلیغات', 'ندارد', 'نه', 'به', 'رئيسی', 'دولت']"
‌اسحاق جهانگیری نامزد انتخابات ریاست جمهوری شد معاون اول رئیس جمهوری با حضور در وزارت کشور برای نامزد شدن در انتخاب… https://t.co/PmdpWs57is,‌اسحاق جهانگیری نامزد انتخابات ریاست جمهوری شد معاون اول رئیس جمهوری با حضور در وزارت کشور برای نامزد شدن در انتخاب,اسحاق جهانگیری نامزد انتخابات ریاست جمهوری شد معاون اول رئیس جمهوری با حضور در وزارت کشور برای نامزد شدن در انتخاب,"['اسحاق', 'جهانگیری', 'نامزد', 'انتخابات', 'ریاست', 'جمهوری', 'شد', 'معاون', 'اول', 'رئیس', 'جمهوری', 'با', 'حضور', 'در', 'وزارت', 'کشور', 'برای', 'نامزد', 'شدن', 'در', 'انتخاب']"
@talabeyakuza @Mamadanof @AliirezzaaaaAM کیر طلایی باشه لطفا 🙏🏻😂,کیر طلایی باشه لطفا,کیر طلایی باشه لطفا,"['کیر', 'طلایی', 'باشه', 'لطفا']"
"مارز‌ رو انقدراهم بس اطمینان نکن
همین جناب کسایی دیگه ایو بعنوان بهترین دنسرای کیپاپ اسم برد
و برای کپی‌رایت چنان ق… https://t.co/MOl2S5rEP3",مارز‌ رو انقدراهم بس اطمینان نکنهمین جناب کسایی دیگه ایو بعنوان بهترین دنسرای کیپاپ اسم بردو برای کپی‌رایت چنان ق,مارز رو انقدراهم بس اطمینان نکنهمین جناب کسایی دیگه ایو بعنوان بهترین دنسرای کیپاپ اسم بردو برای کپیرایت چنان ق,"['مارز', 'رو', 'انقدراهم', 'بس', 'اطمینان', 'نکنهمین', 'جناب', 'کسایی', 'دیگه', 'ایو', 'بعنوان', 'بهترین', 'دنسرای', 'کیپاپ', 'اسم', 'بردو', 'برای', 'کپیرایت', 'چنان', 'ق']"
@syjebraily چون از قدیم گفتن آدم دروغگو کم حافظه هم هست .👌,چون از قدیم گفتن آدم دروغگو کم حافظه هم هست,چون از قدیم گفتن آدم دروغگو کم حافظه هم هست,"['چون', 'از', 'قدیم', 'گفتن', 'آدم', 'دروغگو', 'کم', 'حافظه', 'هم', 'هست']"
@baaayraam آره کلا اشتباه کردم ، اینا تربیت ناپذیر هستن,آره کلا اشتباه کردم  اینا تربیت ناپذیر هستن,آره کلا اشتباه کردم  اینا تربیت ناپذیر هستن,"['آره', 'کلا', 'اشتباه', 'کردم', 'اینا', 'تربیت', 'ناپذیر', 'هستن']"
"RT @Ahoo282828: #رئیسی_متشکریم

مملکت که اداره میشد بی درو پیکر بوده ولی دیگه اجازه نمیدیم. https://t.co/pfN2qLPXbF",رئیسی متشکریممملکت که اداره میشد بی درو پیکر بوده ولی دیگه اجازه نمیدیم,رئیسی متشکریممملکت که اداره میشد بی درو پیکر بوده ولی دیگه اجازه نمیدیم,"['رئیسی', 'متشکریممملکت', 'که', 'اداره', 'میشد', 'بی', 'درو', 'پیکر', 'بوده', 'ولی', 'دیگه', 'اجازه', 'نمیدیم']"
"RT @pdrmsh: عالی سعید محمد، چقدر دقیق گفت
دمتون گرم تو مناظرات همینجوری پوزه شون رو به خاک بمالید👌🏻 https://t.co/qtnpZqB9Xy",عالی سعید محمد چقدر دقیق گفتدمتون گرم تو مناظرات همینجوری پوزه شون رو به خاک بمالید,عالی سعید محمد چقدر دقیق گفتدمتون گرم تو مناظرات همینجوری پوزه شون رو به خاک بمالید,"['عالی', 'سعید', 'محمد', 'چقدر', 'دقیق', 'گفتدمتون', 'گرم', 'تو', 'مناظرات', 'همینجوری', 'پوزه', 'شون', 'رو', 'به', 'خاک', 'بمالید']"
